index,City mpg,Make,Model Year,Year,Horsepower,ID
0,18,Audi,2009 Audi A3,2009,250,
1,22,Audi,2009 Audi A3,2009,200,
2,21,Audi,2009 Audi A3,2009,200,
3,21,Audi,2009 Audi A3,2009,200,
4,21,Audi,2009 Audi A3,2009,200,
5,16,Audi,2009 Audi A5,2009,265,
6,17,Audi,2009 Audi A5,2009,265,
7,13,Audi,2009 Audi Q7,2009,350,
8,14,Audi,2009 Audi Q7,2009,280,
9,22,Audi,2009 Audi A4 Sedan,2009,211,
10,21,Audi,2009 Audi A4 Sedan,2009,211,
11,17,Audi,2009 Audi A4 Sedan,2009,265,
12,20,Acura,2012 Acura TL,2012,280,
13,18,Acura,2012 Acura TL,2012,305,
14,12,BMW,2010 BMW X5,2010,555,
15,12,BMW,2011 BMW X5,2011,555,
16,12,BMW,2010 BMW X6,2010,555,
17,12,BMW,2011 BMW X6,2011,555,
18,18,Chevrolet,2012 Chevrolet Colorado,2012,185,
19,18,Chevrolet,2012 Chevrolet Colorado,2012,185,
20,18,Chevrolet,2012 Chevrolet Colorado,2012,185,
21,18,Chevrolet,2011 Chevrolet Colorado,2011,185,
22,18,Chevrolet,2011 Chevrolet Colorado,2011,185,
23,18,Chevrolet,2011 Chevrolet Colorado,2011,185,
24,18,Chevrolet,2010 Chevrolet Colorado,2010,185,
25,20,Chevrolet,2010 Chevrolet Colorado,2010,185,
26,18,Chevrolet,2010 Chevrolet Colorado,2010,185,
27,13,Chevrolet,2012 Chevrolet Express,2012,310,
28,9,Chevrolet,2012 Chevrolet Express,2012,310,
29,13,Chevrolet,2011 Chevrolet Express,2011,310,
30,13,Chevrolet,2011 Chevrolet Express,2011,310,
31,8,Chevrolet,2011 Chevrolet Express,2011,280,
32,8,Chevrolet,2011 Chevrolet Express,2011,324,
33,10,Chevrolet,2010 Chevrolet Express,2010,310,
34,13,Chevrolet,2010 Chevrolet Express,2010,310,
35,15,Chevrolet,2011 Chevrolet Silverado 1500,2011,195,
36,14,Chevrolet,2011 Chevrolet Silverado 1500,2011,302,
37,15,Chevrolet,2011 Chevrolet Silverado 1500,2011,195,
38,15,Chevrolet,2010 Chevrolet Silverado 1500,2010,195,
39,15,Chevrolet,2010 Chevrolet Silverado 1500,2010,195,
40,14,Chevrolet,2010 Chevrolet Silverado 1500,2010,302,
41,18,Nissan,2011 Nissan 370Z Coupe,2011,350,
42,18,Nissan,2010 Nissan 370Z Coupe,2010,350,
43,18,Nissan,2009 Nissan 370Z Coupe,2009,350,
44,21,Volvo,2011 Volvo C30,2011,227,
45,21,Volvo,2011 Volvo C30,2011,227,
46,21,Volvo,2010 Volvo C30,2010,227,
47,21,Volvo,2010 Volvo C30,2010,227,
48,9,Bentley,2010 Bentley Brooklands,2010,530,
49,8,Bentley,2012 Bentley Continental Supersports Convertible,2012,621,
50,8,Bentley,2012 Bentley Continental Supersports Coupe,2012,621,
51,8,Bentley,2011 Bentley Continental Supersports Convertible,2011,621,
52,12,Bentley,2010 Bentley Continental Supersports,2010,621,
53,8,Bentley,2012 Bentley Continental Flying Spur,2012,552,
54,11,Bentley,2012 Bentley Continental Flying Spur,2012,600,
55,10,Bentley,2011 Bentley Continental Flying Spur,2011,600,
56,10,Bentley,2010 Bentley Continental Flying Spur,2010,600,
57,10,Bentley,2010 Bentley Continental Flying Spur,2010,552,
58,19,Volvo,2011 Volvo C70,2011,227,
59,20,Volvo,2010 Volvo C70,2010,227,
60,19,Volvo,2010 Volvo C70,2010,227,
61,21,Volvo,2010 Volvo S40,2010,168,
62,21,Volvo,2010 Volvo S40,2010,227,
63,21,Volvo,2011 Volvo S40,2011,227,
64,20,Volvo,2010 Volvo S40,2010,227,
65,20,Volvo,2012 Volvo S60,2012,250,
66,18,Volvo,2012 Volvo S60,2012,300,
67,18,Volvo,2012 Volvo S60,2012,325,
68,18,Volvo,2011 Volvo S60,2011,300,
69,19,Volvo,2011 Volvo S80,2011,240,
70,15,Volvo,2010 Volvo S80,2010,311,
71,16,Volvo,2010 Volvo S80,2010,281,
72,18,Volvo,2010 Volvo S80,2010,235,
73,21,Volvo,2011 Volvo V50,2011,227,
74,20,Volvo,2010 Volvo V50,2010,227,
75,20,Volvo,2010 Volvo V50,2010,168,
76,17,Volvo,2011 Volvo XC60,2011,300,
77,18,Volvo,2011 Volvo XC60,2011,240,
78,16,Volvo,2010 Volvo XC60,2010,281,
79,18,Volvo,2010 Volvo XC60,2010,235,
80,18,Volvo,2011 Volvo XC70,2011,240,
81,17,Volvo,2011 Volvo XC70,2011,300,
82,16,Volvo,2010 Volvo XC70,2010,281,
83,16,Volvo,2010 Volvo XC70,2010,235,
84,17,Toyota,2011 Toyota 4Runner,2011,270,
85,17,Toyota,2011 Toyota 4Runner,2011,270,
86,17,Toyota,2011 Toyota 4Runner,2011,270,
87,17,Toyota,2011 Toyota 4Runner,2011,270,
88,17,Toyota,2011 Toyota 4Runner,2011,270,
89,16,Volvo,2011 Volvo XC90,2011,240,
90,14,Volvo,2011 Volvo XC90,2011,311,
91,15,Volvo,2010 Volvo XC90,2010,235,
92,13,Volvo,2010 Volvo XC90,2010,311,
93,18,Volvo,2010 Volvo V70,2010,235,
94,18,Toyota,2010 Toyota 4Runner,2010,157,
95,17,Toyota,2010 Toyota 4Runner,2010,270,
96,17,Toyota,2010 Toyota 4Runner,2010,270,
97,17,Toyota,2010 Toyota 4Runner,2010,270,
98,17,Toyota,2010 Toyota 4Runner,2010,270,
99,17,Toyota,2010 Toyota 4Runner,2010,270,
100,21,Audi,2012 Audi A3,2012,200,
101,17,Honda,2010 Honda Accord Coupe,2010,271,
102,21,Honda,2010 Honda Accord Coupe,2010,190,
